Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Arizona (Pac-12),0,13,0.387,0.408,0.609,0.389,0.568,6.62,63.54,24.23,24.38,39.62,7.02,12.36,277.7,7.27,11.16,279.1,10.75,0.88,4.44,0.8,4.09,4.05,170.4,4.6,183.8,2.46,27.5,34.8,5.31,2.85,7.1,26.93,5.59,449.5,5.81,461.5,0.62,0.769,Pac-12,0.6,7.3,0,5,2014
Arizona St. (Pac-12),0,12,0.387,0.365,0.421,0.417,0.594,4.67,34.25,20,23.25,37.62,7.66,12.9,276.3,7.48,12.46,261.8,3.67,0.762,3.93,0.897,4.55,4.03,156.8,4.32,170.2,3.08,27.7,37,7.5,3.25,8.1,29.02,5.66,418.5,5.91,446.5,1,0.75,Pac-12,0.667,9.3,0,5,2014
California (Pac-12),0,12,0.461,0.419,0.679,0.741,0.615,8.92,82.25,27.67,26.58,36.3,7.76,12.62,346,8.1,12.38,367.2,7.61,0.823,4.4,0.882,4.82,3.98,144.6,4.07,149.2,2.25,39.8,38.3,5.33,1.33,4.6,29.95,6.27,511.8,6.09,495.2,-0.25,0.417,Pac-12,0.001,-1.5,0,5,2014
Colorado (Pac-12),0,12,0.401,0.4,0.483,0.538,0.639,7.17,68.5,22.58,24.67,39.45,6.27,9.81,284.6,7.53,12.6,256.2,6.5,0.893,4.61,0.889,4.6,5.62,204.8,4.11,154.6,1.92,39,28.5,6.25,1.83,4.6,32.57,6.55,461,5.29,439.2,-0.83,0.167,Pac-12,0.001,-10.5,0,5,2014
Oregon (Pac-12),1,13,0.511,0.419,0.667,0.471,0.69,8.23,73.69,22.54,27.38,36.56,10.04,14.55,308.9,6.62,11.03,259.5,12.48,0.837,4.35,0.861,4.58,4.12,154.2,5.45,237.3,2.23,22.5,46.3,5.08,2.62,6.5,27.1,5.4,413.8,7.35,546.2,1.31,0.923,Pac-12,1,23.8,1,0,2014
Oregon St. (Pac-12),0,12,0.319,0.398,0.421,0.625,0.614,8.92,79.83,22,20.75,36.63,7,11.4,275.4,6.84,11.63,248.1,6.06,0.857,4.36,0.792,3.91,4.61,158.2,3.77,118.1,3,31.6,25.7,6.25,2.42,6.7,32.18,5.76,406.3,5.57,393.5,0.33,0.417,Pac-12,0.25,-5.9,0,5,2014
Southern California (Pac-12),0,12,0.485,0.35,0.609,0.609,0.701,8.58,77.17,22.83,23.83,35.4,8.4,11.98,294.6,6.41,10.99,265.7,9.9,0.723,3.77,0.86,4.8,3.88,132.5,3.87,158.2,2.5,23.8,35.1,7.42,2.5,6.1,30.98,5.27,398.2,5.96,452.8,0.92,0.667,Pac-12,0.5,11.3,0,5,2014
Stanford (Pac-12),0,12,0.414,0.356,0.222,0.462,0.648,6.08,51.92,17.25,20.33,33.79,7.83,12.09,231.7,5.23,9.17,175.7,18.29,0.806,4.06,0.714,3.67,3.22,111.8,4.3,154.8,1.83,16,25.7,4.75,3.33,7.3,31.8,4.21,287.4,5.89,386.5,-0.42,0.583,Pac-12,0.167,9.7,0,5,2014
UCLA (Pac-12),0,12,0.428,0.401,0.533,0.611,0.696,7.42,70.92,22.33,24,37.95,7.84,11.27,268.5,6.52,10.62,243.3,9.5,0.829,4.24,0.936,4.72,4,157.7,4.62,199.4,3.25,27.5,32.9,8,1.83,5.7,29.53,5.22,401,6.04,467.9,-0.08,0.75,Pac-12,0.75,5.4,0,5,2014
Utah (Pac-12),0,12,0.392,0.386,0.583,0.429,0.602,5.83,52.83,21.42,18.67,42.81,6.82,11.34,198.4,7.08,11.95,245,15.15,0.846,4.46,0.842,4.18,3.89,158.1,4.09,176.3,2.58,26.2,30.2,8,4.33,8.3,29.18,5.36,403.1,5.19,374.8,0.33,0.667,Pac-12,0.4,4,0,5,2014
Washington (Pac-12),0,13,0.416,0.382,0.55,0.563,0.639,7,61.15,22.69,19.85,38.36,7.04,11.01,194.8,7.21,11.36,283.9,9.74,0.741,3.61,0.886,4.23,3.3,121.9,4.36,195.3,2,24.4,30.8,6.08,3.77,6.5,28.93,5.32,405.8,5.38,390.2,0.92,0.615,Pac-12,0.001,6.4,0,5,2014
Washington St. (Pac-12),0,12,0.419,0.393,0.45,0.556,0.661,7.83,67.67,21.33,27.17,32.86,7.43,11.24,477.7,8.3,12.89,296.6,7.17,0.868,4.47,0.803,4.33,4.07,145.7,1.97,39.8,3,38.6,31.8,6.5,2.42,6.4,31.48,6.18,442.3,6.12,517.5,-1.42,0.25,Pac-12,0.001,-6.8,0,5,2014
Alabama (SEC),1,13,0.541,0.362,0.727,0.389,0.646,5,40.46,16.23,24.54,43.38,8.8,13.63,281,6.36,11.68,223.7,9.74,0.825,3.6,0.85,4.6,2.81,88.7,5.11,209.5,1,16.6,37.1,4.46,2.15,6.5,31.98,4.68,312.4,6.73,490.5,-0.08,0.923,SEC,0.833,20.5,1,0,2014
Arkansas (SEC),0,12,0.465,0.404,0.611,0.222,0.557,5.5,47.17,18.17,22.33,38.53,6.8,12.21,190.3,7.24,13.02,221.4,8.52,0.688,3.84,0.804,4.41,3.62,124,5.21,220.3,1.08,20.3,32,4.92,1.75,6.2,33.45,5.33,345.4,5.84,410.6,0.42,0.5,SEC,0.25,11.7,0,5,2014
Auburn (SEC),0,12,0.539,0.367,0.429,0.545,0.621,6.92,68.42,21.33,24.42,36.75,8.96,14.42,230.7,7.28,12.53,239.2,17.82,0.72,3.84,0.873,4.53,4.09,149.5,5.5,258.5,1.17,26.1,35.8,5.5,1.67,6.3,30.12,5.6,388.7,6.72,489.2,0.33,0.667,SEC,0.429,9.7,0,5,2014
Florida (SEC),0,11,0.354,0.386,0.533,0.375,0.527,6.73,60.91,16.73,17.73,37.68,6.72,12.74,180.7,5.92,11.01,194.2,12.96,0.833,4.1,0.905,4.43,3.16,116.8,4.4,189.5,1.36,21.2,30.5,5.45,2.36,7.4,30.13,4.45,311,5.29,370.2,0.55,0.545,SEC,0.333,9.3,0,5,2014
Georgia (SEC),0,12,0.476,0.392,0.857,0.647,0.681,5.08,42.33,19.33,23,36.12,8.05,11.82,199.9,5.67,10.39,158.4,10.83,0.784,4.38,0.844,4.55,4.24,176.4,6.1,255,1.25,21.3,41.7,5.33,2,5.6,28.95,4.82,334.8,6.82,454.9,1.25,0.75,SEC,0.6,20.4,0,5,2014
Kentucky (SEC),0,12,0.339,0.439,0.435,0.643,0.563,5.5,50.33,22.5,19.25,37.53,6.85,12.17,231.2,6.87,11.93,215.8,6.85,0.932,4.84,0.872,4.15,4.5,191.6,4.16,154,2.83,31.3,29.2,6.83,2.25,5.3,28.67,5.5,407.3,5.44,385.2,0.67,0.417,SEC,0.001,-2.1,0,5,2014
LSU (SEC),0,12,0.393,0.333,0.6,0.462,0.5,5.75,49,14.92,20.42,41.29,7.51,15.02,163.9,5.43,10.76,162.3,10.84,0.778,3.78,0.8,4.07,4.21,143.5,4.52,219.5,1.92,16.4,27.6,4.75,1.58,5.8,33.97,4.78,305.8,5.44,383.4,0.33,0.667,SEC,0.5,11.2,0,5,2014
Mississippi St. (SEC),0,12,0.467,0.328,0.471,0.409,0.613,5.17,39.42,20.17,25.08,39.36,8.59,14.02,266.3,6.93,13.32,285.2,4.26,0.6,2.93,0.818,4.42,3.7,126.5,5.28,239.8,1.75,19.4,37.2,4.83,3,6.4,29.98,5.46,411.7,6.62,506.2,0.08,0.833,SEC,0.6,17.8,0,5,2014
Missouri (SEC),0,13,0.436,0.369,0.857,0.545,0.528,7.69,61.54,19.69,19.38,38.59,6.44,12.21,196.2,6.15,10.19,208.5,11.38,0.886,4.63,0.927,4.68,3.55,135.8,4.36,165.6,1.54,21.4,27.4,5.85,3.23,7.4,28.9,4.77,344.4,5.29,361.8,0.62,0.769,SEC,0.5,6,0,5,2014
Ole Miss (SEC),0,12,0.411,0.311,0.474,0.5,0.616,5.25,42.08,17.92,21.25,41.63,8.25,13.39,275.6,6.17,10.57,187.6,6.36,0.719,3.28,0.718,3.92,3.4,133.6,4.58,167.7,2.17,13.8,30.4,6.5,2.08,7.5,28.5,4.61,321.2,6.33,443.3,0.58,0.75,SEC,0.6,16.6,0,5,2014
South Carolina (SEC),0,12,0.431,0.419,0.571,0.9,0.588,5.42,45.42,22.58,24.08,37.38,7.78,13.24,281.4,7.37,11.79,219.2,5.42,0.875,4.45,0.875,4.56,5.43,214.4,4.53,169.4,2.08,31.2,33.3,5.08,1,3.7,30.98,6.26,433.6,6.13,450.8,-0.33,0.5,SEC,0.25,2.1,0,5,2014
Tennessee (SEC),0,12,0.388,0.348,0.636,0.429,0.613,4.17,32.42,18.42,20.83,38.99,6.35,10.36,228,6.86,12.76,197.8,9.57,0.967,4.9,0.918,4.53,4.05,162.1,3.42,135,3.5,23.9,27.6,8.08,2.92,7.3,30.08,5.23,359.9,4.82,363,0.08,0.5,SEC,0.001,3.7,0,5,2014
Texas A&M (SEC),0,12,0.411,0.416,0.588,0.611,0.647,5,46.75,23.42,22.67,40.93,7.68,11.86,306.4,7.01,12.19,225.5,12.95,0.872,4.31,0.864,4.64,5.07,223.5,4.6,142.8,2.08,27.3,34.4,5.08,2.75,5.6,25.63,5.89,449,6.33,449.3,-0.58,0.583,SEC,0.4,7.1,0,5,2014
Vanderbilt (SEC),0,12,0.303,0.422,0.5,0.5,0.504,6.08,52.5,21.92,16.08,36.23,6.02,11.94,179.1,7.57,12.19,218.3,6.53,0.923,4.73,0.731,3.81,4.43,183.8,3.44,109.7,1.75,33.3,17.2,4.25,1.5,5.7,29.48,5.72,402.1,4.68,288.8,-1.33,0.25,SEC,0.001,-16.1,0,5,2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,,0,0,,,
